trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
2546273,6:15:00,6:15:00,701779,0,1
2546273,,,701582,1,0
2546273,,,701760,2,0
2546273,,,701588,3,0
2546273,,,701589,4,0
2546273,,,701584,5,0
2546273,,,701585,6,0
2546273,,,701782,7,0
2546273,,,701785,8,0
2546273,,,701722,9,0
2546273,,,701555,10,0
2546273,6:27:00,6:30:00,701753,11,1
2546273,,,701534,12,0
2546273,,,701535,13,0
2546273,,,701794,14,0
2546273,,,701657,15,0
2546273,,,701656,16,0
2546273,,,701850,17,0
2546273,,,701586,18,0
2546273,,,701790,19,0
2546273,,,701590,20,0
2546273,6:45:00,6:45:00,701852,21,1
2546274,7:15:00,7:15:00,701779,0,1
2546274,,,701582,1,0
2546274,,,701760,2,0
2546274,,,701588,3,0
2546274,,,701589,4,0
2546274,,,701584,5,0
2546274,,,701585,6,0
2546274,,,701782,7,0
2546274,,,701785,8,0
2546274,,,701722,9,0
2546274,,,701555,10,0
2546274,7:27:00,7:30:00,701753,11,1
2546274,,,701534,12,0
2546274,,,701535,13,0
2546274,,,701794,14,0
2546274,,,701657,15,0
2546274,,,701656,16,0
2546274,,,701850,17,0
2546274,,,701586,18,0
2546274,,,701790,19,0
2546274,,,701590,20,0
2546274,7:45:00,7:45:00,701852,21,1
2546275,8:15:00,8:15:00,701779,0,1
2546275,,,701582,1,0
2546275,,,701760,2,0
2546275,,,701588,3,0
2546275,,,701589,4,0
2546275,,,701584,5,0
2546275,,,701585,6,0
2546275,,,701782,7,0
2546275,,,701785,8,0
2546275,,,701722,9,0
2546275,,,701555,10,0
2546275,8:27:00,8:30:00,701753,11,1
2546275,,,701534,12,0
2546275,,,701535,13,0
2546275,,,701794,14,0
2546275,,,701657,15,0
2546275,,,701656,16,0
2546275,,,701850,17,0
2546275,,,701586,18,0
2546275,,,701790,19,0
2546275,,,701590,20,0
2546275,8:45:00,8:45:00,701852,21,1
2546276,9:15:00,9:15:00,701779,0,1
2546276,,,701582,1,0
2546276,,,701760,2,0
2546276,,,701588,3,0
2546276,,,701589,4,0
2546276,,,701584,5,0
2546276,,,701585,6,0
2546276,,,701782,7,0
2546276,,,701785,8,0
2546276,,,701722,9,0
2546276,,,701555,10,0
2546276,9:27:00,9:30:00,701753,11,1
2546276,,,701534,12,0
2546276,,,701535,13,0
2546276,,,701794,14,0
2546276,,,701657,15,0
2546276,,,701656,16,0
2546276,,,701850,17,0
2546276,,,701586,18,0
2546276,,,701790,19,0
2546276,,,701590,20,0
2546276,9:45:00,9:45:00,701852,21,1
2546277,10:15:00,10:15:00,701779,0,1
2546277,,,701582,1,0
2546277,,,701760,2,0
2546277,,,701588,3,0
2546277,,,701589,4,0
2546277,,,701584,5,0
2546277,,,701585,6,0
2546277,,,701782,7,0
2546277,,,701785,8,0
2546277,,,701722,9,0
2546277,,,701555,10,0
2546277,10:27:00,10:30:00,701753,11,1
2546277,,,701534,12,0
2546277,,,701535,13,0
2546277,,,701794,14,0
2546277,,,701657,15,0
2546277,,,701656,16,0
2546277,,,701850,17,0
2546277,,,701586,18,0
2546277,,,701790,19,0
2546277,,,701590,20,0
2546277,10:45:00,10:45:00,701852,21,1
2546278,11:15:00,11:15:00,701779,0,1
2546278,,,701582,1,0
2546278,,,701760,2,0
2546278,,,701588,3,0
2546278,,,701589,4,0
2546278,,,701584,5,0
2546278,,,701585,6,0
2546278,,,701782,7,0
2546278,,,701785,8,0
2546278,,,701722,9,0
2546278,,,701555,10,0
2546278,11:27:00,11:30:00,701753,11,1
2546278,,,701534,12,0
2546278,,,701535,13,0
2546278,,,701794,14,0
2546278,,,701657,15,0
2546278,,,701656,16,0
2546278,,,701850,17,0
2546278,,,701586,18,0
2546278,,,701790,19,0
2546278,,,701590,20,0
2546278,11:45:00,11:45:00,701852,21,1
2546279,12:15:00,12:15:00,701779,0,1
2546279,,,701582,1,0
2546279,,,701760,2,0
2546279,,,701588,3,0
2546279,,,701589,4,0
2546279,,,701584,5,0
2546279,,,701585,6,0
2546279,,,701782,7,0
2546279,,,701785,8,0
2546279,,,701722,9,0
2546279,,,701555,10,0
2546279,12:27:00,12:30:00,701753,11,1
2546279,,,701534,12,0
2546279,,,701535,13,0
2546279,,,701794,14,0
2546279,,,701657,15,0
2546279,,,701656,16,0
2546279,,,701850,17,0
2546279,,,701586,18,0
2546279,,,701790,19,0
2546279,,,701590,20,0
2546279,12:45:00,12:45:00,701852,21,1
2546280,13:15:00,13:15:00,701779,0,1
2546280,,,701582,1,0
2546280,,,701760,2,0
2546280,,,701588,3,0
2546280,,,701589,4,0
2546280,,,701584,5,0
2546280,,,701585,6,0
2546280,,,701782,7,0
2546280,,,701785,8,0
2546280,,,701722,9,0
2546280,,,701555,10,0
2546280,13:27:00,13:30:00,701753,11,1
2546280,,,701534,12,0
2546280,,,701535,13,0
2546280,,,701794,14,0
2546280,,,701657,15,0
2546280,,,701656,16,0
2546280,,,701850,17,0
2546280,,,701586,18,0
2546280,,,701790,19,0
2546280,,,701590,20,0
2546280,13:45:00,13:45:00,701852,21,1
2546281,14:15:00,14:15:00,701779,0,1
2546281,,,701582,1,0
2546281,,,701760,2,0
2546281,,,701588,3,0
2546281,,,701589,4,0
2546281,,,701584,5,0
2546281,,,701585,6,0
2546281,,,701782,7,0
2546281,,,701785,8,0
2546281,,,701722,9,0
2546281,,,701555,10,0
2546281,14:27:00,14:30:00,701753,11,1
2546281,,,701534,12,0
2546281,,,701535,13,0
2546281,,,701794,14,0
2546281,,,701657,15,0
2546281,,,701656,16,0
2546281,,,701850,17,0
2546281,,,701586,18,0
2546281,,,701790,19,0
2546281,,,701590,20,0
2546281,14:45:00,14:45:00,701852,21,1
2546282,15:15:00,15:15:00,701779,0,1
2546282,,,701582,1,0
2546282,,,701760,2,0
2546282,,,701588,3,0
2546282,,,701589,4,0
2546282,,,701584,5,0
2546282,,,701585,6,0
2546282,,,701782,7,0
2546282,,,701785,8,0
2546282,,,701722,9,0
2546282,,,701555,10,0
2546282,15:27:00,15:30:00,701753,11,1
2546282,,,701534,12,0
2546282,,,701535,13,0
2546282,,,701794,14,0
2546282,,,701657,15,0
2546282,,,701656,16,0
2546282,,,701850,17,0
2546282,,,701586,18,0
2546282,,,701790,19,0
2546282,,,701590,20,0
2546282,15:45:00,15:45:00,701852,21,1
2546283,16:15:00,16:15:00,701779,0,1
2546283,,,701582,1,0
2546283,,,701760,2,0
2546283,,,701588,3,0
2546283,,,701589,4,0
2546283,,,701584,5,0
2546283,,,701585,6,0
2546283,,,701782,7,0
2546283,,,701785,8,0
2546283,,,701722,9,0
2546283,,,701555,10,0
2546283,16:27:00,16:30:00,701753,11,1
2546283,,,701534,12,0
