block_id,trip_id,route_id,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
1A,2546273,15288,35126,0,80859,,
1A,2546274,15288,35126,0,80859,,
1A,2546275,15288,35126,0,80859,,
1A,2546276,15288,35126,0,80859,,
1A,2546277,15288,35126,0,80859,,
1A,2546278,15288,35126,0,80859,,
1A,2546279,15288,35126,0,80859,,
1A,2546280,15288,35126,0,80859,,
1A,2546281,15288,35126,0,80859,,
1A,2546282,15288,35126,0,80859,,
1A,2546283,15288,35126,0,80859,,
1A,2546284,15288,35126,0,80859,,
1A,2546285,15288,35126,0,80859,,
1A,2546286,15288,35126,0,80859,,
1A,2546287,15288,35126,0,80859,,
1A,2546288,15288,35126,0,80859,,
1A,2546289,15288,35126,1,80860,,
1A,2546290,15288,35126,1,80860,,
1A,2546291,15288,35126,1,80860,,
1A,2546292,15288,35126,1,80860,,
1A,2546293,15288,35126,1,80860,,
1A,2546294,15288,35126,1,80860,,
1A,2546295,15288,35126,1,80860,,
1A,2546296,15288,35126,1,80860,,
1A,2546297,15288,35126,1,80860,,
1A,2546298,15288,35126,1,80860,,
1A,2546299,15288,35126,1,80860,,
1A,2546300,15288,35126,1,80860,,
1A,2546301,15288,35126,1,80860,,
1A,2546302,15288,35126,1,80860,,
1A,2546303,15288,35126,1,80860,,
1A,2546304,15288,35126,1,81122,,
2A,2546410,15289,35126,0,81149,,
2A,2546411,15289,35126,0,81149,,
2A,2546412,15289,35126,0,81149,,
2A,2546413,15289,35126,0,81149,,
2A,2546414,15289,35126,0,81149,,
2A,2546415,15289,35126,0,81149,,
2A,2546416,15289,35126,0,81149,,
2A,2546417,15289,35126,0,81149,,
2A,2546418,15289,35126,0,81149,,
2A,2546419,15289,35126,0,81149,,
2A,2546420,15289,35126,0,81149,,
2A,2546421,15289,35126,0,81149,,
2A,2546422,15289,35126,0,81149,,
2A,2546423,15289,35126,0,81149,,
2A,2546424,15289,35126,0,81149,,
2A,2546425,15289,35126,0,81149,,
2A,2546426,15289,35126,0,81149,,
2A,2546427,15289,35126,0,81149,,
2A,2546428,15289,35126,0,81149,,
2A,2546429,15289,35126,0,81149,,
2A,2546430,15289,35126,0,81149,,
2A,2546431,15289,35126,0,81149,,
2A,2546432,15289,35126,0,81149,,
2A,2546433,15289,35126,0,81149,,
2A,2546434,15289,35126,0,81149,,
2A,2546435,15289,35126,0,81149,,
2A,2546436,15289,35126,0,81149,,
2A,2546437,15289,35126,0,81149,,
2A,2546438,15289,35126,0,81149,,
2A,2546439,15289,35126,0,81149,,
2A,2546440,15289,35126,0,81149,,
2A,2546441,15289,35126,0,81149,,
2A,2546442,15289,35126,0,81149,,
2A,2546443,15289,35126,0,81149,,
2A,2546445,15289,35127,0,81149,,
2A,2546446,15289,35127,0,81149,,
2A,2546447,15289,35127,0,81149,,
2A,2546448,15289,35127,0,81149,,
2A,2546449,15289,35127,0,81149,,
2A,2546450,15289,35127,0,81149,,
2A,2546451,15289,35127,0,81149,,
2A,2546452,15289,35127,0,81149,,
2A,2546453,15289,35127,0,81149,,
2A,2546454,15289,35127,0,81149,,
2A,2546455,15289,35127,0,81149,,
2A,2546456,15289,35127,0,81149,,
2A,2546457,15289,35127,0,81149,,
2A,2546459,15289,35127,0,81149,,
2A,2546460,15289,35127,0,81149,,
2A,2546461,15289,35127,0,81149,,
2A,2546462,15289,35127,0,81149,,
2A,2546463,15289,35127,0,81149,,
2A,2546464,15289,35127,0,81149,,
2A,2546465,15289,35127,0,81149,,
2A,2546466,15289,35127,0,81149,,
2A,2546467,15289,35127,0,81149,,
2A,2546468,15289,35127,0,81149,,
2A,2546469,15289,35127,0,81149,,
2A,2546470,15289,35127,0,81149,,
2A,2546471,15289,35127,0,81149,,
2A,2546472,15289,35127,0,81149,,
2A,2546473,15289,35127,0,81149,,
2A,2546474,15289,35127,0,81149,,
2A,2546475,15289,35127,0,81149,,
2A,2546476,15289,35127,0,81149,,
2A,2546477,15289,35127,0,81149,,
2A,2546478,15289,35127,0,81149,,
2A,2546479,15289,35127,0,81149,,
2A,2546481,15289,35132,0,81149,,
2A,2546482,15289,35132,0,81149,,
2A,2546483,15289,35132,0,81149,,
2A,2546484,15289,35132,0,81149,,
2A,2546485,15289,35132,0,81149,,
2A,2546486,15289,35132,0,81149,,
2A,2546487,15289,35132,0,81149,,
2A,2546488,15289,35132,0,81149,,
2A,2546490,15289,35132,0,81149,,
2A,2546491,15289,35132,0,81149,,
2A,2546492,15289,35132,0,81149,,
2A,2546493,15289,35132,0,81149,,
2A,2546494,15289,35132,0,81149,,
2A,2546495,15289,35132,0,81149,,
2A,2546496,15289,35132,0,81149,,
2A,2546497,15289,35132,0,81149,,
2A,2546498,15289,35132,0,81149,,
2A,2546512,15289,35132,0,81149,,
2A,2546513,15289,35132,0,81149,,
2A,2546514,15289,35132,0,81149,,
2A,2546444,15289,35126,0,81150,,
2A,2546480,15289,35127,0,81150,,
2A,2546515,15289,35132,0,81150,,
3A,2546518,15290,35126,0,81151,,
3A,2546519,15290,35126,0,81151,,
3A,2546520,15290,35126,0,81151,,
3A,2546521,15290,35126,0,81151,,
3A,2546522,15290,35126,0,81151,,
3A,2546523,15290,35126,0,81151,,
3A,2546524,15290,35126,0,81151,,
3A,2546525,15290,35126,0,81151,,
3A,2546526,15290,35126,0,81151,,
3A,2546527,15290,35126,0,81151,,
3A,2546528,15290,35126,0,81151,,
3A,2546529,15290,35126,0,81151,,
3A,2546530,15290,35126,0,81151,,
3A,2546531,15290,35126,0,81151,,
3A,2546532,15290,35126,0,81151,,
3A,2546533,15290,35126,0,81151,,
3A,2546534,15290,35126,0,81151,,
3B,2548782,15290,35126,0,81151,,
3B,2548784,15290,35126,0,81151,,
3B,2548785,15290,35126,0,81151,,
3B,2548786,15290,35126,0,81151,,
3B,2548787,15290,35126,0,81151,,
3B,2548788,15290,35126,0,81151,,
3A,2548812,15290,35127,0,81151,,
3A,2548813,15290,35127,0,81151,,
3A,2548814,15290,35127,0,81151,,
3A,2548815,15290,35127,0,81151,,
3A,2548816,15290,35127,0,81151,,
3A,2548817,15290,35127,0,81151,,
3A,2548818,15290,35127,0,81151,,
3A,2548819,15290,35127,0,81151,,
3A,2548820,15290,35127,0,81151,,
3A,2548821,15290,35127,0,81151,,
3A,2548822,15290,35127,0,81151,,
3A,2548823,15290,35127,0,81151,,
3A,2548824,15290,35127,0,81151,,
3A,2548825,15290,35127,0,81151,,
3A,2548826,15290,35127,0,81151,,
3A,2548827,15290,35127,0,81151,,
3A,2548828,15290,35127,0,81151,,
3A,2546517,15290,35126,1,81153,,
3A,2546543,15290,35126,1,81153,,
3A,2546544,15290,35126,1,81153,,
3A,2546545,15290,35126,1,81153,,
3A,2546546,15290,35126,1,81153,,
3A,2546547,15290,35126,1,81153,,
3A,2546548,15290,35126,1,81153,,
3A,2546549,15290,35126,1,81153,,
3A,2546550,15290,35126,1,81153,,
3A,2546551,15290,35126,1,81153,,
3A,2546552,15290,35126,1,81153,,
3A,2546553,15290,35126,1,81153,,
3A,2546554,15290,35126,1,81153,,
3A,2546555,15290,35126,1,81153,,
3A,2546556,15290,35126,1,81153,,
3A,2546557,15290,35126,1,81153,,
3A,2546558,15290,35126,1,81153,,
3A,2546559,15290,35126,1,81153,,
3B,2548789,15290,35126,1,81153,,
3B,2548790,15290,35126,1,81153,,
3B,2548791,15290,35126,1,81153,,
